name,resource_type,service_name,region,cloud_resource_id,name_has_prod,name_has_dev,name_has_staging,name_has_test,name_has_api,name_has_ml,name_has_data,name_length,name_word_count,label
aws-node-express-api-pro-serverlessdeploymentbuck-1pxgz45vxznlc,Bucket,AmazonS3,ap-south-1,aws-node-express-api-pro-serverlessdeploymentbuck-,0,0,0,0,1,0,0,63,7,dev
prod-testing-scoop-3rd,Instance,AmazonEC2,ap-south-1,i-0d80997f52554318f,1,0,0,1,0,0,0,22,4,prod
user-dev-serverlessdeploymentbucket-lozduzhkn8xp,Bucket,AmazonS3,us-east-1,user-dev-serverlessdeploymentbucket-lozduzhkn8xp,0,1,0,0,0,0,0,48,4,dev
super-admin-prod-serverlessdeploymentbucket-5tp5guxge5pr,Bucket,AmazonS3,ap-south-1,super-admin-prod-serverlessdeploymentbucket-5tp5gu,1,0,0,0,0,0,0,56,5,prod
ocean-serverless-apis-dev-serverlessdeploymentbuck-q782kocvj6ah,Bucket,AmazonS3,ap-south-1,ocean-serverless-apis-dev-serverlessdeploymentbuck,0,1,0,0,1,0,0,63,6,dev
ocean-sls-apis-dev-serverlessdeploymentbucket-1huqc35mn11iu,Bucket,AmazonS3,ap-south-1,ocean-sls-apis-dev-serverlessdeploymentbucket-1huq,0,1,0,0,1,0,0,59,6,dev
aadharsubmitotp-dev-serverlessdeploymentbucket-yjlkv1sbz9fo,Bucket,AmazonS3,ap-south-1,aadharsubmitotp-dev-serverlessdeploymentbucket-yjl,0,1,0,0,0,0,0,59,4,dev
v10new-dev-serverlessdeploymentbucket-trktyjefq2dw,Bucket,AmazonS3,ap-south-1,v10new-dev-serverlessdeploymentbucket-trktyjefq2dw,0,1,0,0,0,0,0,50,4,dev
v10new3-dev-serverlessdeploymentbucket-j5rqzniuigfz,Bucket,AmazonS3,ap-south-1,v10new3-dev-serverlessdeploymentbucket-j5rqzniuigf,0,1,0,0,0,0,0,51,4,dev
auto-hit-csv-dev-serverlessdeploymentbucket-94uz5knzvd5l,Bucket,AmazonS3,ap-south-1,auto-hit-csv-dev-serverlessdeploymentbucket-94uz5k,0,1,0,0,0,0,0,56,6,dev
vehicle-lambda-v1-dev-serverlessdeploymentbucket-jjp6suah0nar,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v1-dev-serverlessdeploymentbucket-j,0,1,0,0,0,0,0,61,6,dev
super-admin-dev-serverlessdeploymentbucket-v2rltlysbhll,Bucket,AmazonS3,ap-south-1,super-admin-dev-serverlessdeploymentbucket-v2rltly,0,1,0,0,0,0,0,55,5,dev
dashboard-user-dev-serverlessdeploymentbucket-xirmoqg4zlsz,Bucket,AmazonS3,us-east-1,dashboard-user-dev-serverlessdeploymentbucket-xirm,0,1,0,0,0,0,0,58,5,dev
prod-testing-scoop-4th,Instance,AmazonEC2,ap-south-1,i-08f142ca462a6fb03,1,0,0,1,0,0,0,22,4,prod
serverlessapis-dev-serverlessdeploymentbucket-5tmr9tph0gsn,Bucket,AmazonS3,ap-south-1,serverlessapis-dev-serverlessdeploymentbucket-5tmr,0,1,0,0,1,0,0,58,4,dev
dashboard-user-prod-serverlessdeploymentbucket-cqrqfjvmpa5v,Bucket,AmazonS3,ap-south-1,dashboard-user-prod-serverlessdeploymentbucket-cqr,1,0,0,0,0,0,0,59,5,prod
metaverse-prod-serverlessdeploymentbucket-ljqu5ojgiw7t,Bucket,AmazonS3,ap-south-1,metaverse-prod-serverlessdeploymentbucket-ljqu5ojg,1,0,0,0,0,0,0,54,4,prod
notification-dev-serverlessdeploymentbucket-hmwoh3yn9xit,Bucket,AmazonS3,ap-south-1,notification-dev-serverlessdeploymentbucket-hmwoh3,0,1,0,0,0,0,0,56,4,dev
aws-node-express-api-pro-serverlessdeploymentbuck-16ovey7vucq8n,Bucket,AmazonS3,ap-south-1,aws-node-express-api-pro-serverlessdeploymentbuck-,0,0,0,0,1,0,0,63,7,dev
v10new2-dev-serverlessdeploymentbucket-mrgfpxqt1aal,Bucket,AmazonS3,ap-south-1,v10new2-dev-serverlessdeploymentbucket-mrgfpxqt1aa,0,1,0,0,0,0,0,51,4,dev
notification-prod-serverlessdeploymentbucket-bvnk5u3ynbe3,Bucket,AmazonS3,ap-south-1,notification-prod-serverlessdeploymentbucket-bvnk5,1,0,0,0,0,0,0,57,4,prod
